Enfrentamiento_id,Torneo_id,Ronda,Nombre_Enfrentamiento,Numero_Replica,Freestyler_Ganador,Freestyler_Perdedor,Link
VS-2014-05,RB-2014,Cuartos,Aczino vs Invert,0,F-70,F-55,https://www.youtube.com/watch?v=3lZwlJua44k
VS-2014-06,RB-2014,Cuartos,Dtoke vs Sony,0,F-72,F-64,https://www.youtube.com/watch?v=o0OBIp_N_-c
VS-2014-07,RB-2014,Cuartos,Carlitos vs Oze,0,F-71,F-74,https://www.youtube.com/watch?v=O6L391FroXE
VS-2014-08,RB-2014,Cuartos,Big Killa vs Kaiser,0,F-75,F-73,https://www.youtube.com/watch?v=K-zgho6BFwo
VS-2014-09,RB-2014,Semifinal,Invert vs Sony,0,F-70,F-72,https://www.youtube.com/watch?v=KMx2Ad0gigA
VS-2014-10,RB-2014,Semifinal,Kaiser vs Oze,0,F-75,F-71,https://www.youtube.com/watch?v=RvBGFjcMTDM
VS-2014-11,RB-2014,Tercer Lugar,Oze vs Sony,0,F-72,F-71,https://www.youtube.com/watch?v=RqCy_SEldhE
VS-2014-12,RB-2014,Final,Invert vs Kaiser,1,F-70,F-75,https://www.youtube.com/watch?v=KBgBdJH3AMA
VS-2015-01,RB-2015,Ronda de Posicionamiento,Dtoke vs Jota,0,F-78,F-64,https://www.youtube.com/watch?v=PxTSjz-brxc
VS-2015-02,RB-2015,Ronda de Posicionamiento,Aczino vs Arkano,0,F-52,F-55,https://www.youtube.com/watch?v=67N-DH672eY
VS-2015-03,RB-2015,Ronda de Posicionamiento,Imigrante vs Penzattore,0,F-77,F-76,https://www.youtube.com/watch?v=5FBXpHSiHio
VS-2015-04,RB-2015,Ronda de Posicionamiento,Mr. Junior vs Tom Crowley,0,F-79,F-69,https://www.youtube.com/watch?v=8ScIB1YMO9Y
VS-2015-05,RB-2015,Cuartos,Arkano vs Dtoke,1,F-52,F-64,https://www.youtube.com/watch?v=cU7C7Fhz4us
VS-2015-06,RB-2015,Cuartos,Aczino vs Mr. Junior,0,F-55,F-69,https://www.youtube.com/watch?v=frRiB_S2gvA
VS-2015-07,RB-2015,Cuartos,Imigrante vs Penzattore,0,F-77,F-76,https://www.youtube.com/watch?v=vNEc3QA0zCo
VS-2015-08,RB-2015,Cuartos,Jota vs Tom Crowley,0,F-79,F-78,https://www.youtube.com/watch?v=HHEN1ZAI1AU
VS-2015-09,RB-2015,Semifinal,Aczino vs Arkano,2,F-52,F-55,https://www.youtube.com/watch?v=V4jq-E2e4Oc
VS-2015-10,RB-2015,Semifinal,Imigrante vs Tom Crowley,1,F-79,F-77,https://www.youtube.com/watch?v=bsmuHq1XESE
VS-2015-11,RB-2015,Tercer Lugar,Aczino vs Imigrante,0,F-55,F-77,https://www.youtube.com/watch?v=FnYf007QDdc
VS-2015-12,RB-2015,Final,Arkano vs Tom Crowley,0,F-52,F-79,https://www.youtube.com/watch?v=8vRJ7-Hu8RA
VS-2016-01,RB-2016,Octavos,Aczino vs Jota,0,F-78,F-55,https://www.youtube.com/watch?v=a0s6ZTfyyHs
VS-2016-02,RB-2016,Octavos,Ciudadano vs Valles-T,0,F-86,F-84,https://www.youtube.com/watch?v=NIEgUmQh7Po
VS-2016-03,RB-2016,Octavos,Cehzar vs Drose,0,F-89,F-83,https://www.youtube.com/watch?v=NoxXglR5xeg
VS-2016-04,RB-2016,Octavos,Chuty vs Jony Beltran,1,F-62,F-61,https://www.youtube.com/watch?v=C2rXItCS8I0
VS-2016-05,RB-2016,Octavos,Gasper vs Shadow,0,F-87,F-88,https://www.youtube.com/watch?v=pdkIjSuWrjg
VS-2016-06,RB-2016,Octavos,Arkano vs O.D.,0,F-52,F-82,https://www.youtube.com/watch?v=O_bByB9Rp_4
VS-2016-07,RB-2016,Octavos,Lancer Lirical vs Papo,0,F-85,F-90,https://www.youtube.com/watch?v=G4XHe_4pbvY
VS-2016-08,RB-2016,Octavos,Skone vs Tom Crowley,0,F-81,F-79,https://www.youtube.com/watch?v=9qZTMDgEzpo
VS-2016-09,RB-2016,Cuartos,Jota vs Valles-T,0,F-78,F-86,https://www.youtube.com/watch?v=ieyFXdLct_M
VS-2016-10,RB-2016,Cuartos,Drose vs Jony Beltran,1,F-62,F-89,https://www.youtube.com/watch?v=oyELKSxmRr4
VS-2016-11,RB-2016,Cuartos,Arkano vs Gasper,0,F-52,F-87,https://www.youtube.com/watch?v=noahsGDi3W4
VS-2016-12,RB-2016,Cuartos,Papo vs Skone,0,F-81,F-85,https://www.youtube.com/watch?v=FmZUwwJZrXY
VS-2016-13,RB-2016,Semifinal,Jony Beltran vs Jota,0,F-78,F-62,https://www.youtube.com/watch?v=dbfsZ2Mxnyc
VS-2016-14,RB-2016,Semifinal,Arkano vs Skone,1,F-81,F-52,https://www.youtube.com/watch?v=Ah3XwUisNZU
VS-2016-15,RB-2016,Tercer Lugar,Arkano vs Jony Beltran,0,F-52,F-62,https://www.youtube.com/watch?v=ngwFHWw6oKM
VS-2016-16,RB-2016,Final,Jota vs Skone,2,F-81,F-78,https://www.youtube.com/watch?v=7DsQ0SKx7ik
VS-2017-01,RB-2017,Octavos,Melvin la Cura vs Wos,0,F-96,F-95,https://www.youtube.com/watch?v=egHF9evWwSw
VS-2017-02,RB-2017,Octavos,Jota vs Skone,0,F-81,F-78,https://www.youtube.com/watch?v=ZJxRpY4GYdw
VS-2017-03,RB-2017,Octavos,Chuty vs Yenky One,0,F-80,F-61,https://www.youtube.com/watch?v=ps3v9zjYPec
VS-2017-04,RB-2017,Octavos,El Tanque vs G,0,F-94,F-100,https://www.youtube.com/watch?v=6QLYZcFghqc
VS-2017-05,RB-2017,Octavos,Elevn vs Jony Beltran,0,F-62,F-99,https://www.youtube.com/watch?v=bkhSqas7UQY
VS-2017-06,RB-2017,Octavos,Arkano vs Pepe Grillo,1,F-52,F-98,https://www.youtube.com/watch?v=FMQiem9ujU0
VS-2017-07,RB-2017,Octavos,Gaviria vs Redencion,0,F-93,F-97,https://www.youtube.com/watch?v=4b8B4e32qpo
VS-2017-08,RB-2017,Octavos,Aczino vs Choque,0,F-55,F-92,https://www.youtube.com/watch?v=3GPPhnfpdlU
VS-2017-09,RB-2017,Cuartos,Skone vs Wos,0,F-96,F-81,https://www.youtube.com/watch?v=43kyDcGMHKU
VS-2017-10,RB-2017,Cuartos,G vs Yenky One,0,F-80,F-94,https://www.youtube.com/watch?v=xoR9LVmwTfE
VS-2017-11,RB-2017,Cuartos,Arkano vs Jony Beltran,0,F-52,F-62,https://www.youtube.com/watch?v=wWtcdK7bd4Y
VS-2017-12,RB-2017,Cuartos,Aczino vs Gaviria,0,F-55,F-93,https://www.youtube.com/watch?v=SWrOL_FtT_A
VS-2017-13,RB-2017,Semifinal,Wos vs Yenky One,0,F-96,F-80,https://www.youtube.com/watch?v=jJZcwjYPBcE&t
VS-2017-14,RB-2017,Semifinal,Aczino vs Arkano,0,F-55,F-52,https://www.youtube.com/watch?v=SWyYot2Ue00
VS-2017-15,RB-2017,Tercer Lugar,Arkano vs Yenky One,0,F-52,F-80,https://www.youtube.com/watch?v=VOHgIr6dSZI
VS-2017-16,RB-2017,Final,Aczino vs Wos,0,F-55,F-96,https://www.youtube.com/watch?v=_Cx6Di76ocQ
VS-2018-01,RB-2018,Octavos,KDT vs Valles-T,0,F-86,F-106,https://www.youtube.com/watch?v=G0bkdfXdaz4
VS-2018-02,RB-2018,Octavos,Pepe Grillo vs Yeriko,0,F-98,F-104,https://www.youtube.com/watch?v=_Xj-43BCaXA
VS-2018-03,RB-2018,Octavos,Rapder vs Wos,0,F-96,F-102,https://www.youtube.com/watch?v=TS7SgBWrVzo
VS-2018-04,RB-2018,Octavos,Letra vs Neon,0,F-110,F-108,https://www.youtube.com/watch?v=Car72fmu7oA
VS-2018-05,RB-2018,Octavos,Bnet vs Switch,0,F-101,F-91,https://www.youtube.com/watch?v=Muz8SmQErX0
VS-2018-06,RB-2018,Octavos,Arkano vs Dozer,0,F-52,F-107,https://www.youtube.com/watch?v=CktcpfbM8qo
VS-2018-07,RB-2018,Octavos,Indico vs RVS,1,F-105,F-103,https://www.youtube.com/watch?v=G3IpRgeS9c8
VS-2018-08,RB-2018,Octavos,Aczino vs Jaze,0,F-55,F-109,https://www.youtube.com/watch?v=HN_2_7HF8h0
VS-2018-09,RB-2018,Cuartos,Pepe Grillo vs Vallest-T,0,F-86,F-98,https://www.youtube.com/watch?v=SstINkF8Pzg
VS-2018-10,RB-2018,Cuartos,Letra vs Wos,0,F-96,F-110,https://www.youtube.com/watch?v=MuUBaDg_q88
VS-2018-11,RB-2018,Cuartos,Arkano vs Bnet,0,F-101,F-52,https://www.youtube.com/watch?v=UdOAh2WJ9dI
VS-2018-12,RB-2018,Cuartos,Aczino vs Indico,0,F-55,F-105,https://www.youtube.com/watch?v=Kk2C0q1rG5M
VS-2018-13,RB-2018,Semifinal,Valles-T vs Wos,0,F-96,F-86,https://www.youtube.com/watch?v=w95MinMftEY
VS-2018-14,RB-2018,Semifinal,Aczino vs Bnet,0,F-55,F-101,https://www.youtube.com/watch?v=C0CGy87Mg6Y
VS-2018-15,RB-2018,Tercer Lugar,Bnet vs Valles-T,0,F-86,F-101,https://www.youtube.com/watch?v=yUahtYTVzjU
VS-2018-16,RB-2018,Final,Aczino vs Wos,0,F-96,F-55,https://www.youtube.com/watch?v=kJMPD1W2Pjs
VS-2019-01,RB-2019,Octavos,Jaze vs SNK,0,F-120,F-109,https://www.youtube.com/watch?v=gkfOnJI4Byc
VS-2019-02,RB-2019,Octavos,Lobo Estepario vs Zasko Master,1,F-123,F-122,https://www.youtube.com/watch?v=1rAMZubEh6U
VS-2019-03,RB-2019,Octavos,Bnet vs Carpediem,0,F-101,F-115,https://www.youtube.com/watch?v=9SRlFW00i6g
VS-2019-04,RB-2019,Octavos,Franco vs Yartzi,0,F-124,F-119,https://www.youtube.com/watch?v=2WkvtuDmHMY
VS-2019-05,RB-2019,Octavos,Chang vs Valles-T,0,F-86,F-118,https://www.youtube.com/watch?v=QMJw4EbEUnc
VS-2019-06,RB-2019,Octavos,Jokker vs Litzen,1,F-117,F-113,https://www.youtube.com/watch?v=roCLQgK-1KM
VS-2019-07,RB-2019,Octavos,Tito MC vs Trueno,0,F-114,F-121,https://www.youtube.com/watch?v=KJbIAlUdmLw
VS-2019-08,RB-2019,Octavos,Aczino vs Wos,2,F-55,F-96,https://www.youtube.com/watch?v=hpaBG68l-Vk
VS-2019-09,RB-2019,Cuartos,SNK vs Zasko Master,0,F-120,F-123,https://www.youtube.com/watch?v=F6XHz9RNNY4
VS-2019-10,RB-2019,Cuartos,Bnet vs Yartzi,0,F-101,F-124,https://www.youtube.com/watch?v=5WQklc6XezY
VS-2019-11,RB-2019,Cuartos,Jokker vs Valles-T,0,F-86,F-117,https://www.youtube.com/watch?v=K_Bt-mrGYLI
VS-2019-12,RB-2019,Cuartos,Aczino vs Trueno,0,F-55,F-114,https://www.youtube.com/watch?v=B_TEq5kh0DU
VS-2019-13,RB-2019,Semifinal,Bnet vs SNK,0,F-101,F-120,https://www.youtube.com/watch?v=oAvqMFQI-Vs
